func,classification,score
dir.create,evaluation,0.03389830508474576
dir.create,communication,0.01694915254237288
dir.create,exploratory,0.01694915254237288
dir.create,import,0.01694915254237288
dir.create,visualization,0.01694915254237288
dir.exists,setup,0.4
dir.exists,communication,0.2
dir.exists,data cleaning,0.2
dir.exists,evaluation,0.2
dirname,setup,1
dispersiontest,modeling,1
displ,data cleaning,0.6363636363636364
displ,exploratory,0.2727272727272727
displ,evaluation,0.09090909090909091
display,visualization,1
dist,visualization,0.42857142857142855
dist,data cleaning,0.14285714285714285
dist,evaluation,0.14285714285714285
dist,exploratory,0.14285714285714285
dist,modeling,0.14285714285714285
distinct,data cleaning,0.6153846153846154
distinct,exploratory,0.3076923076923077
distinct,modeling,0.07692307692307693
dlnorm,modeling,1
dlply,data cleaning,1
dmvnorm,modeling,1
dmy,data cleaning,1
do,data cleaning,0.5652173913043478
do,evaluation,0.2608695652173913
do,exploratory,0.13043478260869565
do,modeling,0.043478260869565216
do.call,data cleaning,0.65
do.call,export,0.2
do.call,visualization,0.1
do.call,modeling,0.05
DocumentTermMatrix,modeling,1
domain,setup,0.5
domain,data cleaning,0.16666666666666666
domain,evaluation,0.16666666666666666
domain,visualization,0.16666666666666666
doParallel,setup,1
doPcaPlots,visualization,1
dotplot,visualization,1
double,import,1
download.file,import,0.6666666666666666
download.file,data cleaning,0.1111111111111111
download.file,evaluation,0.1111111111111111
download.file,modeling,0.1111111111111111
downloadGSMbedFiles,import,0.5454545454545454
downloadGSMbedFiles,export,0.45454545454545453
dplyr,data cleaning,0.5894736842105263
dplyr,exploratory,0.08947368421052632
dplyr,import,0.08421052631578947
dplyr,setup,0.06842105263157895
dplyr,evaluation,0.06315789473684211
dplyr,modeling,0.03684210526315789
dplyr,visualization,0.03684210526315789
dplyr,communication,0.031578947368421054
dpval,data cleaning,1
drake_config,modeling,0.5
drake_config,setup,0.5
drake_plan,data cleaning,0.5555555555555556
drake_plan,modeling,0.2222222222222222
drake_plan,communication,0.1111111111111111
drake_plan,visualization,0.1111111111111111
dredge,modeling,1
drive_analysis,communication,0.25
drive_analysis,exploratory,0.25
drive_analysis,modeling,0.25
drive_analysis,setup,0.25
drive_auth,setup,1
drive_ls,evaluation,1
drive_mkdir,evaluation,0.6666666666666666
drive_mkdir,import,0.13333333333333333
drive_mkdir,setup,0.13333333333333333
drive_mkdir,exploratory,0.06666666666666667
drive_rm,evaluation,1
droplevels,data cleaning,0.6666666666666666
droplevels,evaluation,0.3333333333333333
dSigTransform,exploratory,1
DT,setup,1
dunn.test,modeling,1
duplicated,data cleaning,0.6111111111111112
duplicated,setup,0.2222222222222222
duplicated,visualization,0.1111111111111111
duplicated,import,0.05555555555555555
dx.wts,evaluation,1
dygraph,visualization,0.5
dygraph,import,0.25
dygraph,setup,0.25
dyLegend,visualization,0.5
dyLegend,import,0.25
dyLegend,setup,0.25
dyRangeSelector,visualization,0.5
dyRangeSelector,import,0.25
dyRangeSelector,setup,0.25
dySeries,visualization,0.5
dySeries,import,0.25
dySeries,setup,0.25
E,visualization,1
edgeRenderInfo,visualization,0.75
edgeRenderInfo,evaluation,0.25
element_blank,visualization,0.9156626506024096
element_blank,setup,0.08433734939759036
element_line,visualization,0.9473684210526315
element_line,setup,0.05263157894736842
element_rect,visualization,0.8571428571428571
element_rect,setup,0.14285714285714285
element_text,visualization,0.927007299270073
element_text,setup,0.051094890510948905
element_text,exploratory,0.014598540145985401
element_text,data cleaning,0.0072992700729927005
empirical_logit,modeling,0.875
empirical_logit,visualization,0.125
emplog,exploratory,0.5
emplog,modeling,0.5
enrichAnnoOverlap,data cleaning,1
enrichMap,visualization,1
enrichPathway,modeling,0.6666666666666666
enrichPathway,data cleaning,0.16666666666666666
enrichPathway,setup,0.16666666666666666
enrichPeakOverlap,evaluation,0.25
enrichPeakOverlap,exploratory,0.25
enrichPeakOverlap,modeling,0.25
enrichPeakOverlap,visualization,0.25
epi.2by2,exploratory,0.5
epi.2by2,modeling,0.5
EpiModelHPC,import,0.5
EpiModelHPC,modeling,0.5
escalc,data cleaning,0.5
escalc,evaluation,0.5
estimate_pars,data cleaning,0.4
estimate_pars,evaluation,0.2
estimate_pars,exploratory,0.2
estimate_pars,modeling,0.2
ET.HargreavesSamani,data cleaning,1
eval,evaluation,0.4
eval,import,0.4
eval,communication,0.2
evaluate_plan,evaluation,0.6666666666666666
evaluate_plan,modeling,0.3333333333333333
everything,data cleaning,0.3333333333333333
everything,exploratory,0.3333333333333333
everything,modeling,0.16666666666666666
everything,setup,0.16666666666666666
exists,data cleaning,1
exp,evaluation,0.39285714285714285
exp,modeling,0.25
exp,data cleaning,0.21428571428571427
exp,visualization,0.10714285714285714
exp,communication,0.03571428571428571
expand_limits,visualization,1
expand_runs,data cleaning,1
expand_surveys,setup,0.6666666666666666
expand_surveys,communication,0.3333333333333333
expand.grid,data cleaning,0.391304347826087
expand.grid,modeling,0.17391304347826086
expand.grid,setup,0.17391304347826086
expand.grid,evaluation,0.13043478260869565
expand.grid,exploratory,0.043478260869565216
expand.grid,import,0.043478260869565216
expand.grid,visualization,0.043478260869565216
explain.var,visualization,1
expose_imports,setup,1
expression,visualization,1
ExpressionSet,import,1
exprs,data cleaning,0.47368421052631576
exprs,modeling,0.21052631578947367
exprs,setup,0.15789473684210525
exprs,evaluation,0.05263157894736842
exprs,import,0.05263157894736842
exprs,visualization,0.05263157894736842
extract,data cleaning,0.8571428571428571
extract,evaluation,0.14285714285714285
extract_tables,setup,1
extract2,data cleaning,0.5
extract2,evaluation,0.5
fa,exploratory,1
fa.parallel,exploratory,1
facet_grid,visualization,1
facet_wrap,visualization,0.918918918918919
facet_wrap,exploratory,0.02702702702702703
facet_wrap,export,0.013513513513513514
facet_wrap,import,0.013513513513513514
facet_wrap,modeling,0.013513513513513514
facet_wrap,setup,0.013513513513513514
facet_zoom,visualization,1
factor,data cleaning,0.5663716814159292
factor,visualization,0.13274336283185842
factor,modeling,0.11504424778761062
factor,exploratory,0.07964601769911504
factor,evaluation,0.06637168141592921
factor,import,0.022123893805309734
factor,communication,0.008849557522123894
factor,export,0.004424778761061947
factor,setup,0.004424778761061947
Factor,data cleaning,0.5
Factor,export,0.5
fct_inorder,data cleaning,0.6666666666666666
fct_inorder,visualization,0.3333333333333333
fct_recode,visualization,1
fct_reorder,visualization,1
fct_rev,visualization,1
fData,data cleaning,1
featureNames,data cleaning,1
file,export,0.4
file,import,0.3
file,setup,0.2
file,communication,0.1
File,export,0.43478260869565216
File,import,0.2608695652173913
File,data cleaning,0.13043478260869565
File,communication,0.08695652173913043
File,setup,0.08695652173913043
file_in,data cleaning,0.75
file_in,visualization,0.25
file_out,communication,0.3333333333333333
file_out,modeling,0.3333333333333333
file_out,visualization,0.3333333333333333
file.copy,export,1
file.create,setup,1
file.exists,setup,0.8823529411764706
file.exists,exploratory,0.058823529411764705
file.exists,export,0.058823529411764705
file.mtime,data cleaning,1
file.path,setup,0.5140845070422535
file.path,import,0.31690140845070425
file.path,export,0.09859154929577464
file.path,evaluation,0.06338028169014084
file.path,data cleaning,0.007042253521126761
file.rename,data cleaning,0.3333333333333333
file.rename,export,0.3333333333333333
file.rename,setup,0.3333333333333333
file.size,import,1
FillInData,setup,1
filter,data cleaning,0.654275092936803
filter,visualization,0.13382899628252787
filter,exploratory,0.07063197026022305
filter,import,0.04460966542750929
filter,evaluation,0.040892193308550186
filter,setup,0.03345724907063197
filter,modeling,0.022304832713754646
Filter,data cleaning,1
find_concurrent_events,data cleaning,0.7142857142857143
find_concurrent_events,exploratory,0.14285714285714285
find_concurrent_events,setup,0.14285714285714285
find_mistracked_trials,data cleaning,1
find_ND,data cleaning,1
find_root,setup,1
find_statio_diffs,data cleaning,1
findInterval,evaluation,1
first,communication,0.5
first,data cleaning,0.5
fisher.test,modeling,1
fit,modeling,1
fit_psycho,modeling,1
fit.clust,modeling,1
fitted,evaluation,0.375
fitted,modeling,0.375
fitted,visualization,0.25
fixef,evaluation,0.5
fixef,modeling,0.25
fixef,setup,0.25
flog.appender,setup,0.3888888888888889
flog.appender,import,0.3333333333333333
flog.appender,data cleaning,0.16666666666666666
flog.appender,export,0.1111111111111111
flog.info,communication,0.379746835443038
flog.info,import,0.189873417721519
flog.info,setup,0.13924050632911392
flog.info,evaluation,0.12658227848101267
flog.info,export,0.10126582278481013
flog.info,modeling,0.0379746835443038
flog.info,data cleaning,0.012658227848101266
flog.info,visualization,0.012658227848101266
floor,data cleaning,0.4
floor,exploratory,0.2
floor,export,0.2
floor,import,0.2
fluidPage,setup,1
fluidRow,communication,0.8
fluidRow,import,0.2
fn,modeling,1
fn_gsea,setup,1
fn_iha_7q10,export,1
fn_iha_mlf,export,1
fn_run_gsea,setup,1
follow_rec,data cleaning,1
foo,modeling,1
for,data cleaning,0.45
for,evaluation,0.12857142857142856
for,setup,0.10714285714285714
for,exploratory,0.09285714285714286
for,import,0.07857142857142857
for,modeling,0.06428571428571428
for,visualization,0.03571428571428571
for,communication,0.02142857142857143
for,export,0.02142857142857143
forcats,visualization,0.6666666666666666
forcats,data cleaning,0.3333333333333333
foreach,setup,0.5
foreach,evaluation,0.25
foreach,modeling,0.25
forest,modeling,0.5
forest,visualization,0.5
format,data cleaning,0.3333333333333333
format,exploratory,0.2222222222222222
format,modeling,0.2222222222222222
format,visualization,0.2222222222222222
formula,modeling,1
fortify,setup,1
fp,modeling,1
fpkm_annotations,modeling,1
fread,import,0.8571428571428571
fread,setup,0.14285714285714285
freeR,exploratory,1
fromJSON,data cleaning,0.375
fromJSON,import,0.375
fromJSON,modeling,0.25
fst,export,1
Fstats,modeling,0.9090909090909091
Fstats,visualization,0.09090909090909091
FTL_cp,import,0.6
FTL_cp,exploratory,0.2
FTL_cp,modeling,0.2
FTL_tripTable,import,1
full_join,data cleaning,0.6666666666666666
full_join,modeling,0.3333333333333333
fun,evaluation,0.5
fun,setup,0.5
function,data cleaning,0.4306569343065693
function,setup,0.1678832116788321
function,modeling,0.10948905109489052
function,exploratory,0.05474452554744526
function,import,0.05474452554744526
function,communication,0.051094890510948905
function,evaluation,0.04744525547445255
function,export,0.043795620437956206
function,visualization,0.040145985401459854
funnel,evaluation,1
funWrap,data cleaning,0.7272727272727273
funWrap,evaluation,0.2727272727272727
future_map_dfr,setup,1
fwrite,export,1
fzCor,exploratory,1
g1,visualization,1
g2,visualization,1
g3,visualization,1
g4,visualization,1
gam,modeling,0.9444444444444444
gam,exploratory,0.05555555555555555
gam.check,evaluation,0.5
gam.check,modeling,0.5
gArea,data cleaning,0.6666666666666666
gArea,setup,0.3333333333333333
gather,data cleaning,0.7692307692307693
gather,evaluation,0.07692307692307693
gather,exploratory,0.07692307692307693
gather,modeling,0.07692307692307693
gather_plan,data cleaning,1
gaussian,modeling,1
GaussKernel,modeling,1
gbm.fit,modeling,1
gc,setup,0.5
gc,data cleaning,0.2
gc,communication,0.1
gc,evaluation,0.1
gc,visualization,0.1
gContains,data cleaning,1
gdpRank,exploratory,1
geneSelect,export,1
genesInTerm,data cleaning,0.4444444444444444
genesInTerm,evaluation,0.3333333333333333
genesInTerm,visualization,0.2222222222222222
GenTable,evaluation,0.5
GenTable,modeling,0.25
GenTable,data cleaning,0.125
GenTable,visualization,0.125
geo,import,1
geom_abline,visualization,0.8571428571428571
geom_abline,data cleaning,0.14285714285714285
geom_area,visualization,1
geom_bar,visualization,0.9489795918367347
geom_bar,exploratory,0.02040816326530612
geom_bar,data cleaning,0.01020408163265306
geom_bar,export,0.01020408163265306
geom_bar,import,0.01020408163265306
geom_boxplot,visualization,0.9523809523809523
geom_boxplot,data cleaning,0.023809523809523808
geom_boxplot,exploratory,0.023809523809523808
geom_col,visualization,1
geom_density,visualization,1
geom_errorbar,visualization,0.9615384615384616
geom_errorbar,exploratory,0.038461538461538464
geom_histogram,visualization,0.8787878787878788
geom_histogram,exploratory,0.12121212121212122
geom_hline,visualization,1
geom_jitter,visualization,1
geom_label,communication,1
geom_line,visualization,0.9545454545454546
geom_line,communication,0.022727272727272728
geom_line,data cleaning,0.015151515151515152
geom_line,evaluation,0.007575757575757576
geom_path,setup,0.6666666666666666
geom_path,visualization,0.3333333333333333
geom_point,visualization,0.9090909090909091
geom_point,communication,0.030303030303030304
geom_point,data cleaning,0.030303030303030304
geom_point,exploratory,0.015151515151515152
geom_point,modeling,0.007575757575757576
geom_point,setup,0.007575757575757576
geom_pointrange,visualization,0.75
geom_pointrange,import,0.25
geom_polygon,setup,0.6666666666666666
geom_polygon,visualization,0.3333333333333333
geom_raster,visualization,1
geom_rect,visualization,1
geom_ribbon,visualization,1
geom_rug,visualization,1
geom_segment,visualization,1
geom_smooth,visualization,0.9
geom_smooth,setup,0.1
geom_text,visualization,1
geom_text_repel,visualization,1
geom_tile,visualization,1
geom_violin,visualization,1
geom_vline,visualization,0.9333333333333333
geom_vline,communication,0.06666666666666667
get,import,0.75
get,data cleaning,0.25
GET,export,0.5
GET,import,0.5
get_data_path,setup,0.4375
get_data_path,import,0.3125
get_data_path,data cleaning,0.09375
get_data_path,export,0.09375
get_data_path,modeling,0.03125
get_data_path,visualization,0.03125
get_epi,import,0.5
get_epi,modeling,0.5
get_event_group,data cleaning,0.6666666666666666
get_event_group,setup,0.3333333333333333
get_experiment_names,data cleaning,0.3333333333333333
get_experiment_names,evaluation,0.3333333333333333
get_experiment_names,setup,0.3333333333333333
get_parallel_cores_given_os,setup,0.8461538461538461
get_parallel_cores_given_os,import,0.07692307692307693
get_parallel_cores_given_os,modeling,0.07692307692307693
get_param,import,0.5
get_param,evaluation,0.25
get_param,modeling,0.25
get_parsed_binary_confusion_matrix_stats,evaluation,0.5714285714285714
get_parsed_binary_confusion_matrix_stats,modeling,0.42857142857142855
get_prop,data cleaning,1
get_raw_data_ts,import,1
get_shared_2,data cleaning,1
get_shared_all,data cleaning,1
get.com.preprocess.run.multiseq.ATACseq,visualization,1
get.correctness,data cleaning,1
get.data,data cleaning,1
get.pval.from.empirical.null.dist.discrete,evaluation,0.42857142857142855
get.pval.from.empirical.null.dist.discrete,data cleaning,0.2857142857142857
get.pval.from.empirical.null.dist.discrete,modeling,0.2857142857142857
get.results,data cleaning,1
getBM,export,0.5
getBM,import,0.5
getCCLE_MetaGenomics,import,1
getCcleExpressionData,import,1
getCtrpScreensAsMatrix,import,1
getData,import,0.6666666666666666
getData,communication,0.3333333333333333
getFiledata,import,1
getGenes,import,0.5
getGenes,setup,0.5
getGEOInfo,data cleaning,1
getmode,exploratory,0.6666666666666666
getmode,visualization,0.2222222222222222
getmode,modeling,0.1111111111111111
getMSSMprocessedMutationCalls,import,1
getOption,setup,1
getProbeGeneList,exploratory,0.8
getProbeGeneList,import,0.2
getPromoters,data cleaning,0.5
getPromoters,export,0.5
getRecalculatedAUCMatrix,data cleaning,1
getRes,data cleaning,1
getSamplesForDisease,data cleaning,1
getSanger_MetaGenomics,import,1
getSig,setup,0.4
getSig,data cleaning,0.2
getSig,evaluation,0.2
getSig,modeling,0.2
getTagMatrix,data cleaning,0.75
getTagMatrix,modeling,0.25
getTissueType,data cleaning,1
getType,exploratory,1
getUniqueFiles,import,1
getValueForAllCells,data cleaning,1
getwd,setup,0.5263157894736842
getwd,import,0.17543859649122806
getwd,export,0.15789473684210525
getwd,visualization,0.05263157894736842
getwd,communication,0.03508771929824561
getwd,data cleaning,0.03508771929824561
getwd,modeling,0.017543859649122806
getWordListEntropy,setup,1
gg0,visualization,1
gg1,visualization,1
ggbiplot,visualization,1
ggplot,visualization,0.9317073170731708
ggplot,exploratory,0.02195121951219512
ggplot,data cleaning,0.012195121951219513
ggplot,communication,0.00975609756097561
ggplot,import,0.007317073170731708
ggplot,setup,0.007317073170731708
ggplot,modeling,0.004878048780487805
ggplot,evaluation,0.0024390243902439024
ggplot,export,0.0024390243902439024
ggplot_build,visualization,1
ggplot_gtable,visualization,1
ggplot2,visualization,0.6551724137931034
ggplot2,evaluation,0.1724137931034483
ggplot2,export,0.1724137931034483
ggplotly,visualization,1
ggroc,visualization,1
ggsave,export,0.6756756756756757
ggsave,visualization,0.25
ggsave,exploratory,0.033783783783783786
ggsave,communication,0.02702702702702703
ggsave,import,0.013513513513513514
ggtitle,visualization,1
gIntersection,export,0.5
gIntersection,modeling,0.5
glht,evaluation,0.4
glht,exploratory,0.4
glht,modeling,0.2
glimpse,exploratory,1
glm,modeling,0.8148148148148148
glm,evaluation,0.1111111111111111
glm,export,0.037037037037037035
glm,visualization,0.037037037037037035
glm.nb,modeling,1
glmer,modeling,0.96875
glmer,data cleaning,0.03125
glmerControl,modeling,0.75
glmerControl,data cleaning,0.25
glmpath,modeling,1
glPca,modeling,0.5
glPca,setup,0.3333333333333333
glPca,data cleaning,0.16666666666666666
gls,modeling,1
glue,setup,0.8
glue,data cleaning,0.13333333333333333
glue,export,0.06666666666666667
glue_data,communication,1
googledrive,evaluation,0.6956521739130435
googledrive,import,0.13043478260869565
googledrive,setup,0.13043478260869565
googledrive,exploratory,0.043478260869565216
graph_from_adjacency_matrix,modeling,1
graph.adjacency,modeling,0.5
graph.adjacency,visualization,0.5
graphRenderInfo,visualization,0.75
graphRenderInfo,evaluation,0.25
grep,data cleaning,0.55
grep,import,0.125
grep,setup,0.125
grep,evaluation,0.1
grep,exploratory,0.1
grepl,data cleaning,0.6551724137931034
grepl,import,0.1896551724137931
grepl,exploratory,0.034482758620689655
grepl,export,0.034482758620689655
grepl,visualization,0.034482758620689655
grepl,communication,0.017241379310344827
grepl,evaluation,0.017241379310344827
grepl,modeling,0.017241379310344827
grid.arrange,visualization,0.6666666666666666
grid.arrange,setup,0.3333333333333333
grid.draw,visualization,1
grid.text,visualization,1
group_by,data cleaning,0.5222222222222223
group_by,exploratory,0.19444444444444445
group_by,evaluation,0.11666666666666667
group_by,visualization,0.08333333333333333
group_by,modeling,0.044444444444444446
group_by,setup,0.027777777777777776
group_by,export,0.005555555555555556
group_by,import,0.005555555555555556
group2,export,1
groupMatch,data cleaning,1
groupRankAverages,exploratory,1
GSA.read.gmt,import,1
GSEA,setup,1
GSM1003578,communication,0.5
GSM1003578,exploratory,0.5
gsmFind,modeling,1
gsub,data cleaning,0.8512396694214877
gsub,setup,0.08264462809917356
gsub,exploratory,0.024793388429752067
gsub,communication,0.008264462809917356
gsub,export,0.008264462809917356
gsub,import,0.008264462809917356
gsub,modeling,0.008264462809917356
gsub,visualization,0.008264462809917356
guide_legend,visualization,1
guides,export,0.5454545454545454
guides,visualization,0.4090909090909091
guides,data cleaning,0.045454545454545456
gzfile,import,0.6666666666666666
gzfile,export,0.2222222222222222
gzfile,evaluation,0.1111111111111111
has_file,setup,1
hcb,modeling,1
hcb_adults,communication,1
hcb_adults_feelings,exploratory,1
hcb_adults_hunger,exploratory,1
hcb_adults_thinking,exploratory,1
hcb_children,visualization,1
hcb_children_feelings,visualization,1
hcb_children_hunger,visualization,1
hcb_children_thinking,visualization,1
hcb_feelings,exploratory,1
hcb_hunger,exploratory,1
hcb_thinking,exploratory,1
hclus.scree,visualization,1
hclust,visualization,0.7222222222222222
hclust,modeling,0.2222222222222222
hclust,setup,0.05555555555555555
hdi,modeling,1
head,exploratory,0.5543478260869565
head,data cleaning,0.20652173913043478
head,communication,0.11956521739130435
head,evaluation,0.06521739130434782
head,import,0.021739130434782608
head,export,0.010869565217391304
head,modeling,0.010869565217391304
head,visualization,0.010869565217391304
heatmap.2,data cleaning,0.75
heatmap.2,visualization,0.25
here,setup,0.5161290322580645
here,import,0.25806451612903225
here,data cleaning,0.1935483870967742
here,export,0.03225806451612903
hetcor,exploratory,1
hist,visualization,0.8031088082901554
hist,exploratory,0.18652849740932642
hist,data cleaning,0.0051813471502590676
hist,evaluation,0.0051813471502590676
hja.map,visualization,1
hr,communication,0.6666666666666666
hr,import,0.16666666666666666
hr,setup,0.16666666666666666
html_document,export,0.4
html_document,communication,0.2
html_document,data cleaning,0.2
html_document,visualization,0.2
htmlOutput,setup,1
humanize_classification,data cleaning,1
humanize_metaprogramming,data cleaning,1
humanReadable,import,1
hyper_tibble,data cleaning,1
I,visualization,0.8333333333333334
I,modeling,0.16666666666666666
iconv,data cleaning,1
idMatches,exploratory,1
if,setup,0.432
if,data cleaning,0.216
if,import,0.136
if,evaluation,0.104
if,communication,0.04
if,exploratory,0.032
if,export,0.024
if,modeling,0.016
if_else,visualization,0.75
if_else,data cleaning,0.125
if_else,exploratory,0.125
ifelse,data cleaning,0.89198606271777
ifelse,evaluation,0.03832752613240418
ifelse,modeling,0.020905923344947737
ifelse,setup,0.017421602787456445
ifelse,exploratory,0.013937282229965157
ifelse,import,0.010452961672473868
ifelse,visualization,0.006968641114982578
image,exploratory,0.5
image,visualization,0.5
imap_dfr,visualization,1
import,import,1
importance,communication,0.6666666666666666
importance,evaluation,0.3333333333333333
indNames,data cleaning,1
induced_subgraph,visualization,0.8
induced_subgraph,exploratory,0.2
inner_join,data cleaning,0.75
inner_join,exploratory,0.125
inner_join,import,0.125
install_github,setup,0.8333333333333334
install_github,import,0.16666666666666666
install.packages,setup,0.8767123287671232
install.packages,import,0.1232876712328767
installed.packages,setup,0.6666666666666666
installed.packages,import,0.3333333333333333
interaction,visualization,1
interaction.plot,visualization,1
intersect,data cleaning,0.5714285714285714
intersect,evaluation,0.09523809523809523
intersect,exploratory,0.09523809523809523
intersect,setup,0.09523809523809523
intersect,communication,0.047619047619047616
intersect,import,0.047619047619047616
intersect,modeling,0.047619047619047616
intersectList,data cleaning,1
invisible,setup,1
IPW,evaluation,1
IPWt50,evaluation,1
is_exprs,evaluation,0.3333333333333333
is_exprs,import,0.3333333333333333
is_exprs,visualization,0.3333333333333333
is.element,data cleaning,0.7142857142857143
is.element,exploratory,0.2857142857142857
is.factor,data cleaning,1
is.infinite,exploratory,1
is.na,data cleaning,0.5325670498084292
is.na,exploratory,0.1685823754789272
is.na,visualization,0.10344827586206896
is.na,modeling,0.07662835249042145
is.na,evaluation,0.06130268199233716
is.na,setup,0.038314176245210725
is.na,import,0.01532567049808429
is.na,export,0.0038314176245210726
is.null,data cleaning,0.4
is.null,setup,0.4
is.null,import,0.2
is.numeric,data cleaning,1
isPackageInstalled,setup,1
isPackageLoaded,setup,1
italic,visualization,1
itchmodel,export,1
jags,modeling,0.5
jags,visualization,0.5
join,data cleaning,0.8571428571428571
join,evaluation,0.14285714285714285
jpeg,data cleaning,0.3333333333333333
jpeg,export,0.3333333333333333
jpeg,modeling,0.16666666666666666
jpeg,visualization,0.16666666666666666
kde2d,data cleaning,0.3333333333333333
kde2d,import,0.3333333333333333
kde2d,modeling,0.3333333333333333
keggPathwayGraphs,communication,0.25
keggPathwayGraphs,exploratory,0.25
keggPathwayGraphs,import,0.25
keggPathwayGraphs,visualization,0.25
keggPathwayNames,exploratory,0.25
keggPathwayNames,import,0.25
keggPathwayNames,modeling,0.25
keggPathwayNames,setup,0.25
kmeans,evaluation,0.5
kmeans,modeling,0.5
knit,communication,0.3333333333333333
knit,modeling,0.3333333333333333
knit,setup,0.3333333333333333
knit2html,communication,0.5714285714285714
knit2html,export,0.2857142857142857
knit2html,modeling,0.09523809523809523
knit2html,import,0.047619047619047616
knitr,communication,0.7142857142857143
knitr,modeling,0.14285714285714285
knitr,setup,0.14285714285714285
knitr_in,communication,0.5
knitr_in,modeling,0.5
knitr::opts_chunk,communication,1
knn,modeling,1
kruskal,modeling,1
kruskal.test,modeling,0.7142857142857143
kruskal.test,evaluation,0.2857142857142857
l_ply,setup,1
labeller,visualization,1
labels,visualization,1
labels2colors,visualization,1
labs,visualization,0.9285714285714286
labs,export,0.03571428571428571
labs,data cleaning,0.017857142857142856
labs,evaluation,0.008928571428571428
labs,exploratory,0.008928571428571428
lag,data cleaning,1
lapply,data cleaning,0.5512820512820513
lapply,setup,0.1282051282051282
lapply,modeling,0.11538461538461539
lapply,evaluation,0.05128205128205128
lapply,export,0.05128205128205128
lapply,import,0.05128205128205128
lapply,exploratory,0.038461538461538464
lapply,visualization,0.01282051282051282
last,data cleaning,0.5789473684210527
last,communication,0.21052631578947367
last,evaluation,0.21052631578947367
last_plot,visualization,1
latex,export,0.5
latex,data cleaning,0.3333333333333333
latex,exploratory,0.16666666666666666
latlon2county,data cleaning,1
layout,data cleaning,0.4
layout,visualization,0.4
layout,modeling,0.2
layout.circle,evaluation,0.5
layout.circle,visualization,0.5
layoutGraph,visualization,0.75
layoutGraph,evaluation,0.25
ldply,data cleaning,1
left_join,data cleaning,0.6949152542372882
left_join,evaluation,0.11864406779661017
left_join,exploratory,0.0847457627118644
left_join,visualization,0.06779661016949153
left_join,import,0.01694915254237288
left_join,setup,0.01694915254237288
legend,visualization,0.9523809523809523
legend,modeling,0.047619047619047616
len,data cleaning,0.7142857142857143
len,modeling,0.14285714285714285
len,setup,0.14285714285714285
len_weight,data cleaning,0.75
len_weight,modeling,0.25
length,data cleaning,0.2572614107883817
length,exploratory,0.23651452282157676
length,setup,0.18049792531120332
length,evaluation,0.13485477178423236
length,modeling,0.08506224066390042
length,visualization,0.03941908713692946
length,import,0.026970954356846474
length,communication,0.02074688796680498
length,export,0.01867219917012448
levels,data cleaning,0.7441860465116279
levels,evaluation,0.09302325581395349
levels,exploratory,0.046511627906976744
levels,modeling,0.046511627906976744
levels,visualization,0.046511627906976744
levels,communication,0.023255813953488372
library,setup,0.6872565386755703
library,import,0.2125765164162493
library,visualization,0.03394546466332777
library,data cleaning,0.027824151363383415
library,modeling,0.01335559265442404
library,exploratory,0.012799109627156371
library,communication,0.008347245409015025
library,evaluation,0.0027824151363383415
library,export,0.0011129660545353367
lims,visualization,1
Line,data cleaning,1
lines,visualization,0.6829268292682927
lines,data cleaning,0.3170731707317073
Lines,data cleaning,1
list,data cleaning,0.2669039145907473
list,setup,0.15658362989323843
list,modeling,0.10676156583629894
list,visualization,0.10676156583629894
list,export,0.09608540925266904
list,communication,0.07473309608540925
list,evaluation,0.06761565836298933
list,import,0.06761565836298933
list,exploratory,0.05693950177935943
list.dirs,import,1
list.files,setup,0.4025974025974026
list.files,import,0.37662337662337664
list.files,evaluation,0.12987012987012986
list.files,export,0.05194805194805195
list.files,exploratory,0.025974025974025976
list.files,communication,0.012987012987012988
list2ascii,data cleaning,1
Literal,data cleaning,0.9583333333333334
Literal,export,0.041666666666666664
lm,modeling,0.961038961038961
lm,evaluation,0.01038961038961039
lm,exploratory,0.01038961038961039
lm,visualization,0.01038961038961039
lm,data cleaning,0.005194805194805195
lm,export,0.0025974025974025974
lme,exploratory,1
lmer,modeling,0.9473684210526315
lmer,export,0.05263157894736842
lmList,modeling,1
load,import,0.8526315789473684
load,setup,0.12280701754385964
load,data cleaning,0.010526315789473684
load,exploratory,0.007017543859649123
load,visualization,0.007017543859649123
load_all,import,0.7142857142857143
load_all,setup,0.2857142857142857
load_data,import,1
loadCounts,import,0.75
loadCounts,exploratory,0.25
loadData,import,1
loadProject,visualization,1
loess,modeling,1
log,visualization,0.3142857142857143
log,data cleaning,0.3
log,modeling,0.2857142857142857
log,exploratory,0.04285714285714286
log,evaluation,0.02857142857142857
log,import,0.02857142857142857
log10,visualization,0.6779661016949152
log10,data cleaning,0.1864406779661017
log10,evaluation,0.06779661016949153
log10,modeling,0.05084745762711865
log10,exploratory,0.01694915254237288
log2,modeling,1
logical,evaluation,0.5
logical,setup,0.5
login,modeling,1
logSumExp,modeling,0.42857142857142855
logSumExp,evaluation,0.2857142857142857
logSumExp,data cleaning,0.14285714285714285
logSumExp,exploratory,0.14285714285714285
long_hr_sim,evaluation,1
ls,setup,0.8372093023255814
ls,data cleaning,0.09302325581395349
ls,exploratory,0.03875968992248062
ls,import,0.023255813953488372
ls,evaluation,0.007751937984496124
lsf.str,data cleaning,1
lubridate,data cleaning,0.6666666666666666
lubridate,communication,0.16666666666666666
